Adult (15) literacy rate;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Burundi;-1;-1;-1;-1;22.50855076;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.38472344;-1;-1;-1;-1;-1;-1;-1;-1;-1;59.30362117;-1;-1;-1;-1;-1;-1;-1;86.94787038;-1;-1;86.94787038
Cambodia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;67.33502956;-1;-1;-1;-1;-1;73.60995477;-1;-1;-1;77.58654273;73.90002557;-1;-1
Cameroon;-1;41.21621117;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;68.40915939;-1;-1;-1;-1;-1;-1;70.6799378;-1;-1;71.29050773;71.29050773
Canada;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Cape Verde;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;62.79685904;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;79.99211;-1;-1;-1;-1;-1;-1;84.93627
Cayman Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.86782324;-1;-1;-1;98.86782324
Central African Rep.;18.2361715;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33.62442222;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50.64516882;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;56.613
Chad;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10.89465314;-1;-1;-1;-1;-1;-1;25.65421488;-1;-1;-1;28.3814337;-1;-1;-1;-1;-1;-1;35.39147
Chile;-1;-1;-1;-1;-1;-1;-1;91.12840373;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.2911368;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.71662423;-1;-1;-1;-1;-1;98.64900802;98.55367609;-1;98.55367609
China;-1;-1;-1;-1;-1;-1;-1;65.50508573;-1;-1;-1;-1;-1;-1;-1;77.78505864;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.92021038;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.12447711;95.12447711
Colombia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;81.37555447;-1;-1;91.20716186;-1;-1;-1;-1;-1;-1;-1;92.80377655;92.84866221;92.29967872;92.65179431;93.37817637;93.24468643;93.37232869;93.58053364
Comoros;-1;-1;-1;-1;-1;47.91923316;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;68.48923434;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;75.53978
Congo. Dem. Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;67.17298971;-1;-1;-1;-1;-1;61.20554525;-1;-1;-1;61.20554525
Congo. Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cook Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Costa Rica;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.62904202;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.86818706;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.25802
Cote d'Ivoire;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;34.13927836;-1;-1;-1;-1;-1;-1;-1;-1;-1;36.35024201;-1;48.740762;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;56.86751
Croatia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.70154796;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.14667839;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.8807
Cuba;-1;-1;-1;-1;-1;-1;97.84665042;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.79907436;-1;-1;-1;-1;-1;-1;-1;-1;99.83425
Cyprus;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.3624702;-1;-1;-1;-1;-1;-1;-1;-1;96.80363091;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.67842555
Czech Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Denmark;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
